food,calories,carbohydrates,fiber,net_carbs,fats,protein,vit-a_rae,vit-a,vit-b1,vit-b2,vit-b3,vit-b3,vit-b6,vit-b9,vit-c,vit-e,vit-k,choline,betaine,calcium,copper,fluoride,iron,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,Other Names,Comments,Source
amaranth leaves,23,4.02,,,0.33,2.46,146,2917,0.027,0.158,0.658,0.064,0.192,85,43.3,,1140,,,215,0.162,,2.32,55,0.885,50,611,0.9,20,0.9,"Laal Bhaaji, Chaulai",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168385/nutrients
arrowhead,99,20.23,,,0.29,5.33,0,0,0.17,0.073,1.65,0.599,0.26,14,1.1,,,,,10,0.171,,2.57,51,0.36,174,922,0.7,22,0.28,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169203/nutrients
artichoke,47,10.51,5.4,5.11,0.15,3.27,1,13,0.072,0.066,1.046,0.338,0.116,68,11.7,0.19,14.8,34.4,0.2,44,0.231,,1.28,60,0.256,90,370,0.2,94,0.49,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169205/nutrients
arugula,25,3.65,1.6,2.05,0.66,2.58,119,2373,0.044,0.086,0.305,0.437,0.073,97,15,0.43,108.6,15.3,0.1,160,0.076,,1.46,47,0.321,52,369,0.3,27,0.47,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169387/nutrients
asparagus,20,3.88,2.1,1.78,0.12,2.2,38,756,0.143,0.141,0.978,0.274,0.091,52,5.6,1.13,41.6,16,0.6,24,0.189,,2.14,14,0.158,52,202,2.3,2,0.54,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168389/nutrients
avocado,160,8.53,6.7,1.83,14.66,2,7,146,0.067,0.13,1.738,1.389,0.257,81,10,2.07,21,14.2,0.7,12,0.19,7,0.55,29,0.142,52,485,0.4,7,0.64,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171705/nutrients
bamboo shoots,27,5.2,2.2,3,0.3,2.6,1,20,0.15,0.07,0.6,0.161,0.24,7,4,1,0,0,,13,0.19,,0.5,3,0.262,59,533,0.8,4,1.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169210/nutrients
basil,23,2.65,1.6,1.05,0.64,3.15,264,5275,0.034,0.076,0.902,0.209,0.155,68,18,0.8,414.8,11.4,0.4,177,0.385,,3.17,64,1.148,56,295,0.3,4,0.81,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172232/nutrients
beet greens,22,4.33,3.7,0.63,0.13,2.2,316,6326,0.1,0.22,0.4,0.25,0.106,15,30,1.5,400,0.4,,117,0.191,,2.57,70,0.391,41,762,0.9,226,0.38,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170375/nutrients
beets,43,9.56,2.8,6.76,0.17,1.61,2,33,0.031,0.04,0.334,0.155,0.067,109,4.9,0.04,0.2,6,128.7,16,0.075,,0.8,23,0.329,40,325,0.7,78,0.35,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169145/nutrients
bitter gourd leafy tips,30,3.29,,,0.69,5.3,87,1734,0.181,0.362,1.11,0.063,0.803,128,88,,,,,84,0.201,,2.04,85,0.536,99,608,0.9,11,0.3,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168391/nutrients
bitter gourd pod,17,3.7,2.8,0.9,0.17,1,24,471,0.04,0.04,0.4,0.212,0.043,72,84,,,,,19,0.034,,0.43,17,0.089,31,296,0.2,5,0.8,"Balsam-Pear, Karela",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168393/nutrients
bottle gourd,14,3.39,0.5,2.89,0.02,0.62,,16,0.029,0.022,0.32,0.152,0.04,6,10.1,,,,,26,0.026,,0.2,11,0.066,13,150,0.2,2,0.7,"Calabash, Lauki",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169232/nutrients
broccoli,34,6.64,2.6,4.04,0.37,2.82,31,623,0.071,0.117,0.639,0.573,0.175,63,89.2,0.78,101.6,18.7,0.1,47,0.049,,0.73,21,0.21,66,316,2.5,33,0.41,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170379/nutrients
"broccoli leaves, stalks, flower clusters",28,5.06,2.3,2.76,0.35,2.98,,16000,0.065,0.119,0.638,0.535,0.159,71,93.2,,,,,48,0.045,,0.88,25,0.229,66,325,3,27,0.4,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169329/nutrients
brussels sprouts,43,8.95,3.8,5.15,0.3,3.38,38,754,0.139,0.09,0.745,0.309,0.219,61,85,0.88,177,19.1,0.8,42,0.07,,1.4,23,0.337,69,389,1.6,25,0.42,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170383/nutrients
cabbage,25,5.8,2.5,3.3,0.1,1.28,5,98,0.061,0.04,0.234,0.212,0.124,43,36.6,0.15,76,10.7,0.4,40,0.019,1,0.47,12,0.16,26,170,0.3,18,0.18,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169975/nutrients
cabbage bok choy,13,2.18,1,1.18,0.2,1.5,223,4468,0.04,0.07,0.5,0.088,0.194,66,45,0.09,45.5,6.4,0.3,105,0.021,,0.8,19,0.159,37,252,0.5,65,0.19,"Pak Choi, Pok Choi",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170390/nutrients
cabbage napa,16,3.23,1.2,2.03,0.2,1.2,16,318,0.04,0.05,0.4,0.105,0.232,79,27,0.12,42.9,7.6,0.3,77,0.036,,0.31,13,0.19,29,238,0.6,9,0.23,"Pe-Tsai, Chinese",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169979/nutrients
cabbage red,31,7.37,2.1,5.27,0.16,1.43,56,1116,0.064,0.069,0.418,0.147,0.209,18,57,0.11,38.2,17.1,0.1,45,0.017,,0.8,16,0.243,30,243,0.6,27,0.22,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169977/nutrients
cabbage savoy,27,6.1,3.1,3,0.1,2,50,1000,0.07,0.03,0.3,0.187,0.19,80,31,0.17,68.8,12.3,0.5,35,0.062,,0.4,28,0.18,42,230,0.9,28,0.27,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170388/nutrients
capsicum green,20,4.64,1.7,2.94,0.17,0.86,18,370,0.057,0.028,0.48,0.099,0.224,10,80.4,0.37,7.4,5.5,0.1,10,0.066,2,0.34,10,0.122,20,175,0,3,0.13,"Pepper, Bell Pepper, Sweet Pepper",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170427/nutrients
capsicum red,26,6.03,2.1,3.93,0.3,0.99,157,3131,0.054,0.085,0.979,0.317,0.291,46,127.7,1.58,4.9,5.6,0.1,7,0.017,,0.43,12,0.112,26,211,0.1,4,0.25,"Pepper, Bell Pepper, Sweet Pepper",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170108/nutrients
capsicum yellow,27,6.32,0.9,5.42,0.21,1,10,200,0.028,0.025,0.89,0.168,0.168,26,183.5,,,,,11,0.107,,0.46,12,0.117,24,212,0.3,2,0.17,"Pepper, Bell Pepper, Sweet Pepper",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169383/nutrients
carrot,41,9.58,2.8,6.78,0.24,0.93,835,16706,0.066,0.058,0.983,0.273,0.138,19,5.9,0.66,13.2,8.8,0.4,33,0.045,3.2,0.3,12,0.143,35,320,0.1,69,0.24,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170393/nutrients
carrot baby,35,8.24,2.9,5.34,0.13,0.64,690,13790,0.03,0.036,0.556,0.401,0.105,27,2.6,,9.4,7.5,0.1,32,0.1,,0.89,10,0.151,28,237,0.9,78,0.17,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168568/nutrients
cauliflower,25,4.97,2,2.97,0.28,1.92,0,0,0.05,0.06,0.507,0.667,0.184,57,48.2,0.08,15.5,44.3,,22,0.039,1,0.42,15,0.155,44,299,0.6,30,0.27,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169986/nutrients
cauliflower green,31,6.09,3.2,2.89,0.3,2.95,8,155,0.08,0.102,0.734,0.696,0.222,57,88.1,0.04,20.2,57.1,,33,0.041,,0.73,20,0.247,62,300,0.6,23,0.64,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169389/nutrients
celery,14,2.97,1.6,1.37,0.17,0.69,22,449,0.021,0.057,0.32,0.246,0.074,36,3.1,0.27,29.3,6.1,0.1,40,0.035,4,0.2,11,0.103,24,260,0.4,80,0.13,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169988/nutrients
chard swiss,19,3.74,1.6,2.14,0.2,1.8,306,6116,0.04,0.09,0.4,0.172,0.099,14,30,1.89,830,18,0.3,51,0.179,,1.8,81,0.366,46,379,0.9,213,0.36,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169991/nutrients
chilli green,40,9.46,1.5,7.96,0.2,2,59,1179,0.09,0.09,0.95,0.061,0.278,23,242.5,0.69,14.3,11.1,,18,0.174,,1.2,25,0.237,46,340,0.5,7,0.3,Hot Chilli,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170497/nutrients
chilli red,40,8.81,1.5,7.31,0.44,1.87,48,952,0.072,0.086,1.244,0.201,0.506,23,143.7,0.69,14,10.9,,14,0.129,,1.03,23,0.187,43,322,0.5,9,0.26,Hot Chilli,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170106/nutrients
chives,30,4.35,2.5,1.85,0.73,3.27,218,4353,0.078,0.115,0.647,0.324,0.138,105,58.1,0.21,212.7,5.2,,92,0.157,,1.6,42,0.373,58,296,0.9,3,0.56,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169994/nutrients
chrysanthemum garland,24,3.02,3,0.02,0.56,3.36,116,2320,0.13,0.144,0.531,0.221,0.176,177,1.4,,350,,,117,0.137,,2.29,32,0.943,54,567,,118,0.71,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169995/nutrients
chrysanthemum leaves,24,3.01,3,0.01,0.56,3.36,94,1870,0.13,0.144,0.531,0.221,0.176,177,1.4,,,,,117,0.137,,2.3,32,0.943,54,567,0.3,118,0.71,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168491/nutrients
coconut meat,354,15.23,9,6.23,33.49,3.33,0,0,0.066,0.02,0.54,0.3,0.054,26,3.3,0.24,0.2,12.1,,14,0.435,,2.43,32,1.5,113,356,10.1,20,1.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170169/nutrients
collard,32,5.42,4,1.42,0.61,3.02,251,5019,0.054,0.13,0.742,0.267,0.165,129,35.3,2.26,437.1,23.2,0.4,232,0.046,,0.47,27,0.658,25,213,1.3,17,0.21,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170406/nutrients
coriander,23,3.67,2.8,0.87,0.52,2.13,337,6748,0.067,0.162,1.114,0.57,0.149,62,27,2.5,310,12.8,,67,0.225,,1.77,26,0.426,48,521,0.9,46,0.5,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169997/nutrients
corn white,86,19.02,2.7,16.32,1.18,3.22,0,1,0.2,0.06,1.7,0.76,0.055,46,6.8,0.07,0.3,,,2,0.054,,0.52,37,0.161,89,270,0.6,15,0.45,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168538/nutrients
corn yellow,86,18.7,2,16.7,1.35,3.27,9,187,0.155,0.055,1.77,0.717,0.093,42,6.8,0.07,0.3,23,,2,0.054,,0.52,37,0.163,89,270,0.6,15,0.46,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169998/nutrients
cowpea (pods + seeds),44,9.5,3.3,6.2,0.3,3.3,68,1369,0.15,0.14,1.2,0.945,0.173,53,33,0.49,31.5,22,,65,0.1,,1,58,0.308,65,215,0.9,4,0.34,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168405/nutrients
cowpea leafy tips,29,4.82,,,0.25,4.1,36,712,0.354,0.175,1.12,0.06,0.177,101,36,,,,,63,0.191,,1.92,43,0.509,9,455,0.9,7,0.29,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169224/nutrients
cowpea seeds (immature),90,18.83,5,13.83,0.35,2.95,41,817,0.11,0.145,1.45,0.151,0.067,168,2.5,,,,,126,0.13,,1.1,51,0.56,53,431,2.3,4,1.01,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169220/nutrients
cucumber (with peel),15,3.63,0.5,3.13,0.11,0.65,5,105,0.027,0.033,0.098,0.259,0.04,7,2.8,0.03,16.4,6,0.1,16,0.041,1.3,0.28,13,0.079,24,147,0.3,2,0.2,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168409/nutrients
cucumber (without peel),10,2.16,0.7,1.46,0.16,0.59,4,72,0.031,0.025,0.037,0.24,0.051,14,3.2,0.03,7.2,5.7,0.1,14,0.071,1.3,0.22,12,0.073,21,136,0.1,2,0.17,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169225/nutrients
dandelion greens,45,9.2,3.5,5.7,0.7,2.7,508,10161,0.19,0.26,0.806,0.084,0.251,27,35,3.44,778.4,35.3,,187,0.171,,3.1,36,0.342,66,397,0.5,76,0.41,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169226/nutrients
dill leaves,43,7.02,2.1,4.92,1.12,3.46,386,7718,0.058,0.296,1.57,0.397,0.185,150,85,,,,,208,0.146,,6.59,55,1.264,66,738,,61,0.91,Suva,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172233/nutrients
edamame,109,7.61,4.8,2.81,4.73,11.22,,,0.15,0.265,0.925,0.535,0.135,303,9.7,0.72,31.4,56,0.7,60,0.324,,2.11,61,1.01,161,482,,6,1.32,,"Frozen, Unprepared",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168410/nutrients
eggplant,25,5.88,3,2.88,0.18,0.98,1,23,0.039,0.037,0.649,0.281,0.084,22,2.2,0.3,3.5,6.9,,9,0.081,,0.23,14,0.232,24,229,0.3,2,0.16,"Brinjal, Baingan, Bhata",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169228/nutrients
endive,17,3.35,3.1,0.25,0.2,1.25,108,2167,0.08,0.075,0.4,0.9,0.02,142,6.5,0.44,231,16.8,,52,0.099,,0.83,15,0.42,28,314,0.2,22,0.79,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168412/nutrients
fava beans (pods + seeds),88,17.63,7.5,10.13,0.73,7.92,17,333,0.133,0.29,2.249,0.225,0.104,148,3.7,1.16,40.9,,,37,0.402,,1.55,33,0.661,129,332,0.8,25,1,Broad Beans,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168574/nutrients
fenugreek leaves,43,7.1,3.6,3.5,0.75,4.82,,6033,,,,,,,55.5,,,,,107,,,2.53,,,,626,,,,Methi,,https://www.fatsecret.com/calories-nutrition/generic/fenugreek-leaves?portionid=17042115&portionamount=100.000
french beans green,31,6.97,2.7,4.27,0.22,1.83,35,690,0.082,0.104,0.734,0.225,0.141,33,12.2,0.41,43,15.3,0.1,37,0.069,19,1.03,25,0.216,38,211,0.6,6,0.24,"Green, String, Snap Beans",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169961/nutrients
french beans yellow,31,7.13,3.4,3.73,0.12,1.82,,108,0.084,0.105,0.752,0.094,0.074,37,16.3,0.41,43.2,15.3,,37,0.069,,1.04,25,0.214,38,209,0.6,6,0.24,"Wax, Snap Beans",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169320/nutrients
garlic,149,33.06,2.1,30.96,0.5,6.36,0,9,0.2,0.11,0.7,0.596,1.235,3,31.2,0.08,1.7,23.2,,181,0.299,,1.7,25,1.672,153,401,14.2,17,1.16,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169230/nutrients
ginger,80,17.77,2,15.77,0.75,1.82,0,0,0.025,0.034,0.75,0.203,0.16,11,5,0.26,0.1,28.8,,16,0.226,,0.6,43,0.229,34,415,0.7,13,0.34,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169231/nutrients
gooseberry,44,10.18,4.3,5.88,0.58,0.88,15,290,0.04,0.03,0.3,0.286,0.08,6,27.7,0.37,,,,25,0.07,,0.31,10,0.144,27,198,0.6,1,0.12,Amla,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173030/nutrients
grape leaves,93,17.31,11,6.31,2.12,5.6,1376,27521,0.04,0.354,2.362,0.231,0.4,83,11.1,2,108.6,12.8,,363,0.415,,2.63,95,2.855,91,272,0.9,9,0.67,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168575/nutrients
hyacinth bean seeds (immature),46,9.19,3.3,5.89,0.2,2.1,43,864,0.077,0.092,0.52,0.055,0.024,62,12.9,0.51,18.1,19.1,,50,0.047,,0.74,40,0.205,49,252,1.5,2,0.37,Lablab,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169234/nutrients
ivy gourd,18,3.1,1.6,1.5,0.1,1.2,,,0.07,0.08,0.07,,,,1.4,,,,,40,,,1.4,,,,30,,,,"Coccinia Grandis, Kundru",,https://www.healthbenefitstimes.com/ivy-gourd/
jackfruit,95,23.25,1.5,21.75,0.64,1.72,5,110,0.105,0.055,0.92,0.235,0.329,24,13.7,0.34,,,,24,0.076,,0.23,29,0.043,21,448,,2,0.13,Kathal,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174687/nutrients
jalapeno,29,6.5,2.8,3.7,0.37,0.91,54,1078,0.04,0.07,1.28,0.315,0.419,27,118.6,3.58,18.5,7.5,,12,0.046,,0.25,15,0.097,26,248,0.4,3,0.14,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168576/nutrients
kale,35,4.42,4.1,0.32,1.49,2.92,241,4812,0.113,0.347,1.18,0.37,0.147,62,93.4,0.66,389.6,0.5,0.3,254,0.053,,1.6,33,0.92,55,348,0.9,53,0.39,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168421/nutrients
kale chinese,26,4.67,2.6,2.07,0.76,1.2,86,1720,0.1,0.153,0.459,,0.074,104,29.6,0.5,89.1,26.5,,105,0.064,,0.59,19,,43,274,1.4,7,0.41,"Chinese Broccoli, Gai Lan",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169404/nutrients
kohlrabi,27,6.2,3.6,2.6,0.1,1.7,2,36,0.05,0.02,0.4,0.165,0.15,16,62,0.48,0.1,12.3,,24,0.129,,0.4,19,0.139,46,350,0.7,20,0.03,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168424/nutrients
lambsquarters,43,7.3,4,3.3,0.8,4.2,580,11600,0.16,0.44,1.2,0.092,0.274,30,80,,,,,309,0.293,,1.2,34,0.782,72,452,0.9,43,0.44,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169244/nutrients
leeks,61,14.15,1.8,12.35,0.3,1.5,83,1667,0.06,0.03,0.4,0.14,0.233,64,12,0.92,47,9.5,,59,0.12,,2.1,28,0.481,35,180,1,20,0.12,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169246/nutrients
lemon grass,99,25.31,,,0.49,1.82,0,6,0.065,0.135,1.101,0.05,0.08,75,2.6,,,,,65,0.266,,8.17,60,5.224,101,723,0.7,6,2.23,"Cymbopogon, Citronella",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168573/nutrients
lemon juice,22,6.9,0.3,6.6,0.24,0.35,0,6,0.024,0.015,0.091,0.131,0.046,20,38.7,0.15,0,5.1,,6,0.016,,0.08,6,0.012,8,103,0.1,1,0.05,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167747/nutrients
lemon peel,47,16,10.6,5.4,0.3,1.5,3,50,0.06,0.08,0.4,0.319,0.172,13,129,0.25,0,8.5,,134,0.092,,0.8,15,,12,160,0.7,6,0.25,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167749/nutrients
lettuce butterhead,13,2.23,1.1,1.13,0.22,1.35,166,3312,0.057,0.062,0.357,0.15,0.082,73,3.7,0.18,102.3,8.4,0.1,35,0.016,,1.24,13,0.179,33,238,0.6,5,0.2,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168429/nutrients
lettuce cos/romaine,17,3.29,2.1,1.19,0.3,1.23,436,8710,0.072,0.067,0.313,0.142,0.074,136,4,0.13,102.5,9.9,0.1,33,0.048,,0.97,14,0.155,30,247,0.4,8,0.23,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169247/nutrients
lettuce green leaf,15,2.87,1.3,1.57,0.15,1.36,370,7405,0.07,0.08,0.375,0.134,0.09,38,9.2,0.22,126.3,13.6,0.2,36,0.029,,0.86,13,0.25,29,194,0.6,28,0.18,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169249/nutrients
lettuce iceberg,15,2.87,1.3,1.57,0.15,1.36,370,7405,0.07,0.08,0.375,0.134,0.09,38,9.2,0.22,126.3,13.6,0.2,36,0.029,,0.86,13,0.25,29,194,0.6,28,0.18,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169249/nutrients
lettuce red leaf,13,2.26,0.9,1.36,0.22,1.33,375,7492,0.064,0.077,0.321,0.144,0.1,36,3.7,0.15,140.3,11.8,0.2,33,0.028,,1.2,12,0.203,28,187,1.5,25,0.2,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168431/nutrients
lima bean seeds (immature),113,20.17,4.9,15.27,0.86,6.84,10,209,0.217,0.103,1.474,0.247,0.204,34,23.4,0.32,5.6,40,,34,0.318,,3.14,58,1.215,136,467,1.8,8,0.78,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168396/nutrients
lime,30,10.54,2.8,7.74,0.2,0.7,2,50,0.03,0.02,0.2,0.217,0.043,8,29.1,0.22,0.6,5.1,,33,0.065,,0.6,6,0.008,18,102,0.4,2,0.11,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168155/nutrients
lime juice,25,8.42,0.4,8.02,0.07,0.42,2,50,0.025,0.015,0.142,0.123,0.038,10,30,0.22,0.6,5.1,0.2,14,0.027,,0.09,8,0.018,14,117,0.1,2,0.08,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168156/nutrients
lotus root,74,17.23,4.9,12.33,0.1,2.6,0,0,0.16,0.22,0.4,0.377,0.258,13,44,,,,,45,0.257,,1.16,23,0.261,100,556,0.7,40,0.39,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169250/nutrients
moringa leaves,64,8.28,2,6.28,1.4,9.4,378,7564,0.257,0.66,2.22,0.125,1.2,40,51.7,,,,,185,0.105,,4,42,1.063,112,337,0.9,9,0.6,Drumstick Leaves,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168416/nutrients
moringa pods,37,8.53,3.2,5.33,0.2,2.1,4,74,0.053,0.074,0.62,0.794,0.12,44,141,,,,,30,0.084,,0.36,45,0.259,50,461,0.7,42,0.45,Drumstick Pods,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170483/nutrients
mushroom chanterelle,32,6.86,3.8,3.06,0.53,1.49,,,0.015,0.215,4.085,1.075,0.044,2,,,,,,15,0.353,,3.47,13,0.286,57,506,2.2,9,0.71,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168422/nutrients
mushroom cremini/italian,22,4.3,0.6,3.7,0.1,2.5,0,0,0.095,0.49,3.8,1.5,0.11,25,0,0.01,0,22.1,11.1,18,0.5,,0.4,9,0.142,120,448,26,6,1.1,,Vit-B12: 0.1 µg,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168434/nutrients
mushroom enoki,37,7.81,2.7,5.11,0.29,2.66,,,0.225,0.2,7.032,1.35,0.1,48,0,0.01,0.5,47.7,1.4,0,0.107,,1.15,16,0.075,105,359,2.2,3,0.65,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169382/nutrients
mushroom maitake,31,6.97,2.7,4.27,0.19,1.94,0,0,0.146,0.242,6.585,0.27,0.056,21,0,0.01,0,51.1,,1,0.252,,0.3,10,0.059,74,204,2.2,1,0.75,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169403/nutrients
mushroom morel,31,5.1,2.8,2.3,0.57,3.12,0,0,0.069,0.205,2.252,0.44,0.136,9,,,,,,43,0.625,,12.18,19,0.587,194,411,2.2,21,2.03,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168423/nutrients
mushroom oyster,33,6.09,2.3,3.79,0.41,3.31,2,48,0.125,0.349,4.956,1.294,0.11,38,0,0,0,48.7,12.1,3,0.244,,1.33,18,0.113,120,420,2.6,18,0.77,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168580/nutrients
mushroom portobello,22,3.87,1.3,2.57,0.35,2.11,0,0,0.059,0.13,4.494,1.14,0.148,28,0,0.02,1.8,21.2,6.1,3,0.286,,0.31,,0.069,108,364,18.6,9,0.53,Portabella Mushroom,Vit-B12: 0.1 µg,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169255/nutrients
mushroom shiitake,34,6.79,2.5,4.29,0.49,2.24,,,0.015,0.217,3.877,1.5,0.293,13,,,,,,2,0.142,,0.41,20,0.23,112,304,5.7,9,1.03,,Vit-D: 0.4 µg,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169242/nutrients
mushroom white,22,3.26,1,2.26,0.34,3.09,0,0,0.081,0.402,3.607,1.497,0.104,17,2.1,0.01,1,17.3,9.4,3,0.318,,0.5,9,0.047,86,318,9.3,5,0.52,,Vit-D: 0.2 µg,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169251/nutrients
mustard greens,27,4.67,3.2,1.47,0.42,2.86,151,3024,0.08,0.11,0.8,0.21,0.18,12,70,2.01,257.5,0.5,,115,0.165,,1.64,32,,58,384,0.9,20,0.25,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169256/nutrients
mustard spinach,22,3.9,2.8,1.1,0.3,2.2,495,9900,0.068,0.093,0.678,0.178,0.153,159,130,,,,,210,0.075,,1.5,11,0.407,28,449,0.8,21,0.17,Komatsuna,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168438/nutrients
okra,33,7.45,3.2,4.25,0.19,1.93,36,716,0.2,0.06,1,0.245,0.215,60,23,0.27,31.3,12.3,,82,0.109,,0.62,57,0.788,61,299,0.7,7,0.58,"Ladyfinger, Bhindi",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169260/nutrients
olive black,105,6.06,3,3.06,9.54,0.88,19,,0.003,0,0.032,,0.01,0,1.1,1.65,1.4,9.2,,90,0.244,,3.31,4,,3,8,0.9,735,0.22,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/788842/nutrients
olive green,145,3.84,3.3,0.54,15.32,1.03,20,,0.021,0.007,0.237,,0.031,3,0,3.81,1.4,14.2,,52,0.12,,0.49,11,,4,42,0.9,1556,0.04,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/788841/nutrients
onion,40,9.34,1.7,7.64,0.1,1.1,0,2,0.046,0.027,0.116,0.123,0.12,19,7.4,0.02,0.4,6.1,0.1,23,0.039,1.1,0.21,10,0.129,29,146,0.5,4,0.17,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170000/nutrients
onion shallot,72,16.8,3.2,13.6,0.1,2.5,0,4,0.06,0.02,0.2,0.29,0.345,34,8,0.04,0.8,11.3,,37,0.088,,1.2,21,0.292,60,334,1.2,12,0.4,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170499/nutrients
onion spring,32,7.34,2.6,4.74,0.19,1.83,50,997,0.055,0.08,0.525,0.075,0.061,64,18.8,0.55,207,5.7,,72,0.083,,1.48,20,0.16,37,276,0.6,16,0.39,Scallion,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170005/nutrients
